"ulb","applicationno","businessservice","createdtime","applicationdate","status","approvalno","approvaldate"
"Berhampur","BP-BAM-2022-03-04-001364","BPA1","2022-03-04",NULL,"INITIATED",NULL,NULL
"Bhubaneswardevelopmentauthority","BP-BDA-2022-03-05-001400","BPA1","2022-03-05","2022-03-16","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Rourkela","BP-RRK-2021-11-12-000150","BPA2","2021-11-12","2021-11-16","PENDING_SANC_FEE_PAYMENT",NULL,NULL
"Berhampur","BP-BAM-2022-02-27-001212","BPA1","2022-02-27",NULL,"CITIZEN_APPROVAL_INPROCESS",NULL,NULL
"Bhubaneswardevelopmentauthority","BP-BDA-2022-02-12-000829","BPA1","2022-02-12",NULL,"INITIATED",NULL,NULL
"Rourkela","BP-RRK-2022-01-08-000292","BPA1","2022-01-08","2022-02-01","APPROVED","BP/RRK/000039","2022-02-09"
"Rourkela","BP-RRK-2021-12-21-000203","BPA1","2021-12-21","2021-12-21","APPROVED","BP/RRK/000040","2022-02-09"
"Rourkela","BP-RRK-2022-02-02-000640","BPA1","2022-02-02","2022-02-02","APPROVED","BP/RRK/000041","2022-02-10"
"Cuttack","BP-CTC-2022-03-13-001651","BPA1","2022-03-13","2022-03-13","CITIZEN_ACTION_PENDING_AT_DOC_VERIF",NULL,NULL
"Bhubaneswardevelopmentauthority","BP-BDA-2022-03-02-001311","BPA1","2022-03-02","2022-03-04","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-03-05-001396","BPA1","2022-03-05",NULL,"INITIATED",NULL,NULL
"Berhampur","BP-BAM-2022-03-05-001409","BPA1","2022-03-05","2022-03-05","DOC_VERIFICATION_INPROGRESS",NULL,NULL
"Bhubaneswardevelopmentauthority","BP-BDA-2022-02-12-000830","BPA1","2022-02-12",NULL,"INITIATED",NULL,NULL
"Bhubaneswar","BP-BMC-2022-02-12-000836","BPA1","2022-02-12","2022-02-12","APPROVAL_INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-03-07-001471","BPA1","2022-03-07","2022-03-14","DOC_VERIFICATION_INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-02-09-000770","BPA1","2022-02-09","2022-02-09","CITIZEN_ACTION_PENDING_AT_DOC_VERIF",NULL,NULL
"Bhubaneswardevelopmentauthority","BP-BDA-2022-03-01-001262","BPA1","2022-03-01","2022-03-01","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-03-04-001363","BPA1","2022-03-04",NULL,"PENDING_APPL_FEE",NULL,NULL
"Bhubaneswar","BP-BMC-2022-03-02-001313","BPA1","2022-03-02","2022-03-07","DOC_VERIFICATION_INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-03-08-001491","BPA3","2022-03-08",NULL,"INITIATED",NULL,NULL
"Bhubaneswar","BP-BMC-2022-03-02-001277","BPA1","2022-03-02",NULL,"INITIATED",NULL,NULL
"Berhampur","BP-BAM-2022-01-14-000352","BPA1","2022-01-14","2022-01-14","APPROVED","BP/BAM/000054","2022-03-02"
"Berhampur","BP-BAM-2022-03-05-001397","BPA1","2022-03-05","2022-03-05","DOC_VERIFICATION_INPROGRESS",NULL,NULL
"Berhampur","BP-BAM-2022-03-05-001403","BPA1","2022-03-05",NULL,"INITIATED",NULL,NULL
"Rourkela","BP-RRK-2022-03-14-001653","BPA1","2022-03-14","2022-03-14","DOC_VERIFICATION_INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-03-10-001569","BPA2","2022-03-10","2022-03-10","DOC_VERIFICATION_INPROGRESS",NULL,NULL
"Cuttack","BP-CTC-2022-02-27-001214","BPA1","2022-02-27","2022-03-11","CITIZEN_ACTION_PENDING_AT_DOC_VERIF",NULL,NULL
"Bhubaneswar","BP-BMC-2022-03-05-001415","BPA1","2022-03-05","2022-03-05","DOC_VERIFICATION_INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-02-08-000753","BPA1","2022-02-08",NULL,"CITIZEN_APPROVAL_INPROCESS",NULL,NULL
"Berhampur","BP-BAM-2022-02-27-001215","BPA1","2022-02-27",NULL,"INITIATED",NULL,NULL
"Bhubaneswar","BP-BMC-2022-02-12-000831","BPA1","2022-02-12","2022-02-12","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Sambalpur","BP-SMB-2022-01-18-000411","BPA1","2022-01-18","2022-01-18","APPROVED","BP/SMB/000042","2022-02-12"
"Bhubaneswardevelopmentauthority","BP-BDA-2022-03-02-001275","BPA1","2022-03-02","2022-03-03","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-03-02-001281","BPA1","2022-03-02","2022-03-04","DOC_VERIFICATION_INPROGRESS",NULL,NULL
"Bhubaneswardevelopmentauthority","BP-BDA-2022-02-10-000781","BPA1","2022-02-10",NULL,"INITIATED",NULL,NULL
"Sambalpur","BP-SMB-2022-02-07-000724","BPA1","2022-02-07","2022-02-08","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Berhampur","BP-BAM-2022-03-05-001406","BPA1","2022-03-05","2022-03-05","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Berhampurdevelopmentauthority","BP-BED-2022-01-22-000508","BPA1","2022-01-22","2022-01-22","REJECTED",NULL,NULL
"Bhubaneswar","BP-BMC-2022-03-05-001413","BPA1","2022-03-05",NULL,"INPROGRESS",NULL,NULL
"Bhubaneswardevelopmentauthority","BP-BDA-2022-02-12-000837","BPA1","2022-02-12",NULL,"CITIZEN_APPROVAL_INPROCESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-02-03-000676","BPA1","2022-02-03","2022-02-12","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-02-12-000832","BPA2","2022-02-12","2022-02-14","CITIZEN_ACTION_PENDING_AT_DOC_VERIF",NULL,NULL
"Berhampur","BP-BAM-2022-03-05-001404","BPA1","2022-03-05",NULL,"INITIATED",NULL,NULL
"Bhubaneswar","BP-BMC-2022-03-03-001314","BPA1","2022-03-03","2022-03-05","DOC_VERIFICATION_INPROGRESS",NULL,NULL
"Berhampur","BP-BAM-2022-03-05-001417","BPA1","2022-03-05",NULL,"INITIATED",NULL,NULL
"Sambalpur","BP-SMB-2022-02-11-000799","BPA1","2022-02-11","2022-02-11","CITIZEN_ACTION_PENDING_AT_DOC_VERIF",NULL,NULL
"Berhampur","BP-BAM-2022-03-03-001316","BPA1","2022-03-03","2022-03-03","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Rourkela","BP-RRK-2022-03-08-001490","BPA1","2022-03-08",NULL,"INITIATED",NULL,NULL
"Bhubaneswar","BP-BMC-2022-03-16-001750","BPA2","2022-03-16","2022-03-16","DOC_VERIFICATION_INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-03-04-001372","BPA1","2022-03-04","2022-03-04","DOC_VERIFICATION_INPROGRESS",NULL,NULL
"Cuttack","BP-CTC-2022-03-02-001267","BPA1","2022-03-02","2022-03-02","APPROVED","BP/CTC/000066","2022-03-15"
"Bhubaneswar","BP-BMC-2022-02-27-001219","BPA1","2022-02-27","2022-03-03","DOC_VERIFICATION_INPROGRESS",NULL,NULL
"Cuttack","BP-CTC-2022-03-10-001563","BPA2","2022-03-10","2022-03-16","CITIZEN_ACTION_PENDING_AT_DOC_VERIF",NULL,NULL
"Bhubaneswar","BP-BMC-2022-02-04-000680","BPA1","2022-02-04","2022-02-04","APPROVAL_INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-03-05-001418","BPA1","2022-03-05","2022-03-06","DOC_VERIFICATION_INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-03-02-001283","BPA1","2022-03-02","2022-03-02","CITIZEN_ACTION_PENDING_AT_DOC_VERIF",NULL,NULL
"Bhubaneswar","BP-BMC-2022-03-05-001405","BPA1","2022-03-05","2022-03-07","DOC_VERIFICATION_INPROGRESS",NULL,NULL
"Rourkela","BP-RRK-2022-02-28-001224","BPA2","2022-02-28",NULL,"INITIATED",NULL,NULL
"Bhubaneswardevelopmentauthority","BP-BDA-2022-03-02-001284","BPA1","2022-03-02","2022-03-03","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Berhampur","BP-BAM-2022-02-12-000827","BPA1","2022-02-12","2022-02-12","PENDING_SANC_FEE_PAYMENT",NULL,NULL
"Bhubaneswar","BP-BMC-2022-02-01-000626","BPA2","2022-02-01","2022-02-01","APP_L1_VERIFICATION_INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-03-10-001570","BPA1","2022-03-10","2022-03-14","DOC_VERIFICATION_INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-03-04-001373","BPA2","2022-03-04","2022-03-05","DOC_VERIFICATION_INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-03-08-001499","BPA3","2022-03-08","2022-03-09","DOC_VERIFICATION_INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-02-07-000707","BPA2","2022-02-07","2022-02-07","APP_L1_VERIFICATION_INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-03-02-001299","BPA1","2022-03-02","2022-03-03","DOC_VERIFICATION_INPROGRESS",NULL,NULL
"Berhampur","BP-BAM-2022-03-06-001419","BPA1","2022-03-06",NULL,"CITIZEN_APPROVAL_INPROCESS",NULL,NULL
"Sambalpur","BP-SMB-2022-03-16-001752","BPA1","2022-03-16","2022-03-16","DOC_VERIFICATION_INPROGRESS",NULL,NULL
"Cuttack","BP-CTC-2022-03-17-001795","BPA1","2022-03-17",NULL,"INITIATED",NULL,NULL
"Bhubaneswar","BP-BMC-2022-02-03-000666","BPA1","2022-02-03","2022-02-11","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-02-28-001226","BPA1","2022-02-28",NULL,"INITIATED",NULL,NULL
"Rourkela","BP-RRK-2022-02-02-000647","BPA1","2022-02-02","2022-02-02","APPROVED","BP/RRK/000046","2022-02-16"
"Bhubaneswar","BP-BMC-2022-03-16-001748","BPA1","2022-03-16","2022-03-16","DOC_VERIFICATION_INPROGRESS",NULL,NULL
"Berhampur","BP-BAM-2022-03-03-001320","BPA2","2022-03-03",NULL,"INITIATED",NULL,NULL
"Bhubaneswar","BP-BMC-2022-03-02-001288","BPA1","2022-03-02",NULL,"INITIATED",NULL,NULL
"Bhubaneswar","BP-BMC-2022-03-14-001661","BPA1","2022-03-14","2022-03-16","DOC_VERIFICATION_INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-03-02-001285","BPA1","2022-03-02","2022-03-03","DOC_VERIFICATION_INPROGRESS",NULL,NULL
"Rourkela","BP-RRK-2022-01-31-000610","BPA1","2022-01-31","2022-02-04","APPROVED","BP/RRK/000047","2022-02-17"
"Rourkela","BP-RRK-2022-02-12-000825","BPA1","2022-02-12","2022-02-12","APPROVED","BP/RRK/000048","2022-02-17"
"Bhubaneswar","BP-BMC-2022-03-17-001796","BPA2","2022-03-17",NULL,"CITIZEN_APPROVAL_INPROCESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-02-13-000839","BPA1","2022-02-13","2022-02-17","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-03-10-001575","BPA1","2022-03-10","2022-03-14","DOC_VERIFICATION_INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-03-06-001421","BPA2","2022-03-06","2022-03-06","DOC_VERIFICATION_INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-03-04-001376","BPA1","2022-03-04","2022-03-07","DOC_VERIFICATION_INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-03-08-001501","BPA1","2022-03-08","2022-03-09","DOC_VERIFICATION_INPROGRESS",NULL,NULL
"Cuttack","BP-CTC-2021-12-31-000235","BPA1","2021-12-31","2022-01-28","APPROVED","BP/CTC/000063","2022-03-09"
"Rourkela","BP-RRK-2022-03-03-001319","BPA1","2022-03-03","2022-03-08","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Bhubaneswardevelopmentauthority","BP-BDA-2022-02-11-000807","BPA1","2022-02-11","2022-03-09","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-03-16-001753","BPA1","2022-03-16",NULL,"INITIATED",NULL,NULL
"Bhubaneswar","BP-BMC-2022-03-04-001355","BPA1","2022-03-04","2022-03-04","DOC_VERIFICATION_INPROGRESS",NULL,NULL
"Bhubaneswardevelopmentauthority","BP-BDA-2022-02-14-000854","BPA1","2022-02-14",NULL,"CITIZEN_APPROVAL_INPROCESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-01-31-000605","BPA2","2022-01-31","2022-02-02","CITIZEN_ACTION_PENDING_AT_APPROVAL",NULL,NULL
"Bhubaneswar","BP-BMC-2022-03-02-001286","BPA2","2022-03-02","2022-03-03","DOC_VERIFICATION_INPROGRESS",NULL,NULL
"Cuttack","BP-CTC-2022-03-03-001331","BPA1","2022-03-03","2022-03-10","CITIZEN_ACTION_PENDING_AT_DOC_VERIF",NULL,NULL
"Bhubaneswardevelopmentauthority","BP-BDA-2022-03-08-001494","BPA1","2022-03-08","2022-03-08","APPROVAL_INPROGRESS",NULL,NULL
"Berhampur","BP-BAM-2022-03-04-001366","BPA1","2022-03-04","2022-03-05","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-03-14-001662","BPA1","2022-03-14","2022-03-15","DOC_VERIFICATION_INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-03-06-001425","BPA1","2022-03-06","2022-03-15","DOC_VERIFICATION_INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-01-28-000573","BPA2","2022-01-28","2022-01-29","APP_L1_VERIFICATION_INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-03-02-001287","BPA1","2022-03-02",NULL,"INITIATED",NULL,NULL
"Sambalpur","BP-SMB-2022-02-14-000871","BPA1","2022-02-14","2022-02-14","REJECTED",NULL,NULL
"Bhubaneswar","BP-BMC-2022-03-10-001589","BPA2","2022-03-10",NULL,"INITIATED",NULL,NULL
"Cuttack","BP-CTC-2021-12-02-000171","BPA1","2021-12-02","2022-01-13","APPROVED","BP/CTC/000043","2022-02-14"
"Rourkela","BP-RRK-2022-02-13-000849","BPA1","2022-02-13",NULL,"CITIZEN_APPROVAL_INPROCESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-03-06-001431","BPA1","2022-03-06",NULL,"PENDING_APPL_FEE",NULL,NULL
"Berhampur","BP-BAM-2022-03-14-001663","BPA1","2022-03-14","2022-03-14","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-03-03-001332","BPA1","2022-03-03","2022-03-03","DOC_VERIFICATION_INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-03-16-001754","BPA1","2022-03-16","2022-03-16","DOC_VERIFICATION_INPROGRESS",NULL,NULL
"Berhampur","BP-BAM-2022-03-08-001506","BPA1","2022-03-08","2022-03-12","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Berhampurdevelopmentauthority","BP-BED-2022-03-02-001289","BPA1","2022-03-02","2022-03-05","APPROVAL_INPROGRESS",NULL,NULL
"Bhubaneswardevelopmentauthority","BP-BDA-2022-02-10-000777","BPA1","2022-02-10","2022-03-01","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-03-08-001507","BPA1","2022-03-08",NULL,"INITIATED",NULL,NULL
"Bhubaneswar","BP-BMC-2022-02-09-000756","BPA2","2022-02-09","2022-02-15","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-02-15-000879","BPA1","2022-02-15","2022-02-15","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Bhubaneswardevelopmentauthority","BP-BDA-2022-02-14-000860","BPA1","2022-02-14","2022-02-14","CITIZEN_ACTION_PENDING_AT_DOC_VERIF",NULL,NULL
"Bhubaneswar","BP-BMC-2022-01-28-000566","BPA1","2022-01-28","2022-02-14","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-02-09-000765","BPA1","2022-02-09","2022-02-14","CITIZEN_ACTION_PENDING_AT_DOC_VERIF",NULL,NULL
"Bhubaneswar","BP-BMC-2022-02-10-000790","BPA1","2022-02-10","2022-02-14","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-01-29-000585","BPA1","2022-01-29",NULL,"PENDING_APPL_FEE",NULL,NULL
"Rourkela","BP-RRK-2022-01-22-000511","BPA1","2022-01-22","2022-01-22","APPROVED","BP/RRK/000045","2022-02-16"
"Berhampur","BP-BAM-2022-01-17-000392","BPA1","2022-01-17","2022-01-21","APPROVED","BP/BAM/000055","2022-03-03"
"Bhubaneswardevelopmentauthority","BP-BDA-2022-02-11-000809","BPA2","2022-02-11","2022-02-16","APP_L1_VERIFICATION_INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-02-09-000772","BPA1","2022-02-09","2022-02-17","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-02-28-001229","BPA1","2022-02-28","2022-03-06","DOC_VERIFICATION_INPROGRESS",NULL,NULL
"Berhampur","BP-BAM-2022-03-06-001433","BPA1","2022-03-06",NULL,"CITIZEN_APPROVAL_INPROCESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-02-28-001230","BPA1","2022-02-28","2022-03-10","DOC_VERIFICATION_INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-02-14-000875","BPA1","2022-02-14","2022-02-15","APPROVAL_INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-03-02-001290","BPA1","2022-03-02","2022-03-03","DOC_VERIFICATION_INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-03-14-001665","BPA1","2022-03-14","2022-03-14","DOC_VERIFICATION_INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-03-03-001333","BPA1","2022-03-03","2022-03-03","DOC_VERIFICATION_INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-03-08-001509","BPA1","2022-03-08","2022-03-10","DOC_VERIFICATION_INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-01-29-000591","BPA2","2022-01-29","2022-02-14","APP_L1_VERIFICATION_INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-02-23-001070","BPA1","2022-02-23","2022-03-02","APPROVAL_INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-03-16-001755","BPA2","2022-03-16",NULL,"PENDING_APPL_FEE",NULL,NULL
"Bhubaneswardevelopmentauthority","BP-BDA-2022-03-06-001436","BPA1","2022-03-06","2022-03-16","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Rourkela","BP-RRK-2022-02-02-000642","BPA1","2022-02-02","2022-02-04","APPROVED","BP/RRK/000044","2022-02-15"
"Bhubaneswar","BP-BMC-2022-02-14-000870","BPA1","2022-02-14","2022-02-15","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-02-28-001233","BPA1","2022-02-28",NULL,"INITIATED",NULL,NULL
"Bhubaneswar","BP-BMC-2022-02-15-000883","BPA2","2022-02-15",NULL,"INITIATED",NULL,NULL
"Bhubaneswar","BP-BMC-2022-03-02-001291","BPA1","2022-03-02","2022-03-03","DOC_VERIFICATION_INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-02-15-000886","BPA2","2022-02-15",NULL,"INITIATED",NULL,NULL
"Bhubaneswar","BP-BMC-2022-03-06-001437","BPA1","2022-03-06",NULL,"INITIATED",NULL,NULL
"Bhubaneswar","BP-BMC-2022-03-03-001334","BPA2","2022-03-03","2022-03-07","DOC_VERIFICATION_INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-01-28-000563","BPA1","2022-01-28","2022-01-31","APPROVAL_INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-02-15-000889","BPA2","2022-02-15",NULL,"CITIZEN_APPROVAL_INPROCESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-03-14-001669","BPA1","2022-03-14",NULL,"PENDING_APPL_FEE",NULL,NULL
"Bhubaneswar","BP-BMC-2022-03-08-001511","BPA1","2022-03-08","2022-03-10","DOC_VERIFICATION_INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-02-07-000700","BPA1","2022-02-07","2022-02-07","APPROVAL_INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-02-15-000881","BPA1","2022-02-15","2022-02-16","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-02-15-000880","BPA1","2022-02-15","2022-02-15","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Bhubaneswardevelopmentauthority","BP-BDA-2022-01-24-000526","BPA1","2022-01-24","2022-02-16","CITIZEN_ACTION_PENDING_AT_DOC_VERIF",NULL,NULL
"Bhubaneswar","BP-BMC-2022-02-12-000828","BPA1","2022-02-12","2022-02-16","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Sambalpur","BP-SMB-2022-01-31-000600","BPA1","2022-01-31","2022-01-31","APPROVED","BP/SMB/000049","2022-02-17"
"Bhubaneswar","BP-BMC-2022-03-16-001757","BPA2","2022-03-16",NULL,"INITIATED",NULL,NULL
"Rourkela","BP-RRK-2022-02-17-000914","BPA1","2022-02-17","2022-02-24","APPROVED","BP/RRK/000059","2022-03-07"
"Sambalpur","BP-SMB-2021-12-12-000194","BPA1","2021-12-12","2022-03-03","REJECTED",NULL,NULL
"Bhubaneswar","BP-BMC-2022-02-28-001235","BPA1","2022-02-28","2022-03-10","DOC_VERIFICATION_INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-02-17-000916","BPA1","2022-02-17",NULL,"CITIZEN_APPROVAL_INPROCESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-02-17-000920","BPA2","2022-02-17",NULL,"INITIATED",NULL,NULL
"Bhubaneswar","BP-BMC-2022-03-14-001671","BPA1","2022-03-14","2022-03-15","DOC_VERIFICATION_INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-03-09-001513","BPA1","2022-03-09","2022-03-10","DOC_VERIFICATION_INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-02-07-000703","BPA1","2022-02-07","2022-02-07","APPROVAL_INPROGRESS",NULL,NULL
"Sambalpur","BP-SMB-2022-03-02-001292","BPA1","2022-03-02","2022-03-02","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Khordha","BP-KHU-2022-03-07-001444","BPA1","2022-03-07",NULL,"INITIATED",NULL,NULL
"Bhubaneswar","BP-BMC-2022-03-09-001514","BPA1","2022-03-09",NULL,"INITIATED",NULL,NULL
"Bhubaneswar","BP-BMC-2022-02-28-001236","BPA1","2022-02-28","2022-03-02","DOC_VERIFICATION_INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-03-03-001335","BPA1","2022-03-03",NULL,"INITIATED",NULL,NULL
"Bhubaneswardevelopmentauthority","BP-BDA-2022-03-11-001592","BPA1","2022-03-11","2022-03-11","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-03-15-001744","BPA1","2022-03-15",NULL,"PENDING_APPL_FEE",NULL,NULL
"Bhubaneswar","BP-BMC-2022-03-14-001672","BPA1","2022-03-14","2022-03-14","DOC_VERIFICATION_INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-02-17-000932","BPA1","2022-02-17",NULL,"CITIZEN_APPROVAL_INPROCESS",NULL,NULL
"Bhubaneswardevelopmentauthority","BP-BDA-2022-03-07-001451","BPA1","2022-03-07",NULL,"INITIATED",NULL,NULL
"Berhampurdevelopmentauthority","BP-BED-2022-03-09-001515","BPA1","2022-03-09","2022-03-09","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-03-11-001596","BPA1","2022-03-11",NULL,"INITIATED",NULL,NULL
"Bhubaneswar","BP-BMC-2022-02-28-001238","BPA1","2022-02-28","2022-03-01","DOC_VERIFICATION_INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-03-14-001677","BPA1","2022-03-14","2022-03-14","DOC_VERIFICATION_INPROGRESS",NULL,NULL
"Sambalpur","BP-SMB-2022-03-16-001758","BPA1","2022-03-16","2022-03-16","DOC_VERIFICATION_INPROGRESS",NULL,NULL
"Sambalpurdevelopmentauthority","BP-SDA-2022-02-17-000941","BPA1","2022-02-17",NULL,"INITIATED",NULL,NULL
"Chatrapur","BP-CHH-2022-02-17-000943","BPA1","2022-02-17",NULL,"INITIATED",NULL,NULL
"Bhubaneswar","BP-BMC-2022-02-17-000946","BPA1","2022-02-17",NULL,"INITIATED",NULL,NULL
"Bhubaneswar","BP-BMC-2022-02-17-000918","BPA1","2022-02-17",NULL,"PENDING_APPL_FEE",NULL,NULL
"Bhubaneswar","BP-BMC-2022-02-28-001240","BPA1","2022-02-28",NULL,"INITIATED",NULL,NULL
"Bhubaneswar","BP-BMC-2022-03-11-001597","BPA1","2022-03-11",NULL,"INITIATED",NULL,NULL
"Bhubaneswar","BP-BMC-2022-03-16-001760","BPA1","2022-03-16",NULL,"INITIATED",NULL,NULL
"Rourkela","BP-RRK-2022-03-09-001520","BPA1","2022-03-09","2022-03-09","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-03-14-001680","BPA2","2022-03-14","2022-03-15","DOC_VERIFICATION_INPROGRESS",NULL,NULL
"Bhubaneswardevelopmentauthority","BP-BDA-2022-02-18-000955","BPA1","2022-02-18",NULL,"PENDING_APPL_FEE",NULL,NULL
"Jatni","BP-JTN-2022-02-28-001243","BPA1","2022-02-28",NULL,"INITIATED",NULL,NULL
"Bhubaneswar","BP-BMC-2022-02-16-000902","BPA2","2022-02-16","2022-02-18","APP_L1_VERIFICATION_INPROGRESS",NULL,NULL
"Cuttack","BP-CTC-2022-03-11-001598","BPA1","2022-03-11","2022-03-16","DOC_VERIFICATION_INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-02-17-000921","BPA1","2022-02-17","2022-02-17","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-02-18-000959","BPA1","2022-02-18","2022-02-18","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-03-16-001761","BPA1","2022-03-16",NULL,"INITIATED",NULL,NULL
"Bhubaneswar","BP-BMC-2022-02-16-000898","BPA1","2022-02-16","2022-02-17","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-02-28-001244","BPA1","2022-02-28","2022-03-03","DOC_VERIFICATION_INPROGRESS",NULL,NULL
"Berhampurdevelopmentauthority","BP-BED-2022-02-10-000780","BPA1","2022-02-10","2022-02-11","REJECTED",NULL,NULL
"Rourkela","BP-RRK-2022-03-09-001528","BPA1","2022-03-09","2022-03-09","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-03-14-001686","BPA1","2022-03-14","2022-03-15","DOC_VERIFICATION_INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-02-11-000800","BPA1","2022-02-11","2022-02-18","DOC_VERIFICATION_INPROGRESS",NULL,NULL
